"PLN_AREA_N","weighted_value"
"Singapore, BUKIT MERAH",1692.33333333333
"Singapore, CHOA CHU KANG",873.357142857143
"Singapore, GEYLANG",845.4
"Singapore, JURONG WEST",662.684210526316
"Singapore, KALLANG",634
"Singapore, MARINE PARADE",468
"Singapore, PASIR RIS",3083.69230769231
"Singapore, PAYA LEBAR",NA
"Singapore, PUNGGOL",5357
"Singapore, QUEENSTOWN",3283
"Singapore, RIVER VALLEY",391
"Singapore, SEMBAWANG",4768
"Singapore, SENGKANG",10829
"Singapore, SERANGOON",6330
"Singapore, TAMPINES",12325
"Singapore, TOA PAYOH",4860
"Singapore, WOODLANDS",14389
"Singapore, YISHUN",8702
